Ticker,Company_Name,Sector,First_Date,Last_Date,Total_Trading_Days,Starting_Price,Ending_Price,Total_Return_%,Highest_Price,Lowest_Price,Avg_Daily_Volume,Total_Dividends_Paid,Number_of_Splits,Avg_Daily_Return_%,Volatility_%,Current_Market_Cap,Current_PE_Ratio,Current_Dividend_Yield
BRITANNIA.NS,Britannia Industries Ltd.,FMCG,1999-01-01,2026-01-30,6770,40.8459358215332,5860.5,14247.816697372507,6386.20856861246,32.5448174136894,234331.6128508124,560.666667,3,0.08949780107733599,1.8122760164121756,1411608608768,60.977005,1.28
CIPLA.NS,Cipla Ltd.,Pharma,1999-01-01,2026-01-30,6769,19.42674827575684,1324.0,6715.345425833592,1684.0603137461426,3.984762191772461,1814143.0790367853,87.25999999999999,3,0.7719346560715603,29.352237222213283,1069501579264,23.529411,0.98
COALINDIA.NS,Coal India Ltd.,Metals,2010-11-04,2026-01-30,3759,115.38106536865234,440.75,281.99508610166333,489.060029861826,66.6630012176525,7216646.720670391,290.35,0,0.052415848101806994,1.8336309265335904,2716222619648,8.703594,6.01
DIVISLAB.NS,Divi's Laboratories Ltd.,Pharma,2003-03-12,2026-01-30,5677,7.282268047332764,6051.0,82992.24489774538,7039.446635250951,6.404264098363565,947621.5643825964,248.6,3,0.1443115246269429,2.2756375260092376,1606350405632,64.61982,0.5
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Pharma,1999-01-01,2026-01-30,6767,21.185806274414062,1218.0999755859375,5649.604050033383,1412.5315374247275,21.00083362135025,2515695.9770947243,78.6,3,0.1361616439575715,5.5575393904122175,1014151315456,17.929054,0.66
EICHERMOT.NS,Eicher Motors Ltd.,Automobile,1999-01-01,2026-01-30,6767,0.7129110097885132,7122.5,998972.8018231767,7613.5,0.5843530654907226,526062.7900103444,271.6,1,0.29325631098820776,11.333729000683396,1953696317440,38.377605,0.99
GRASIM.NS,Grasim Industries Ltd.,Cement,2002-07-01,2026-01-30,5856,37.953426361083984,2819.0,7327.524390500081,2977.800048828125,33.03083878109791,1059206.1536885246,133.84731699999998,1,0.1718597666580591,7.5053974562283425,1912427249664,44.24737,0.35
HCLTECH.NS,HCL Technologies Ltd.,IT,2002-08-12,2026-01-30,5830,13.045225143432615,1695.5999755859375,12897.859039938126,1924.5466084379736,8.12976919234875,4756622.070840481,333.0625,3,0.11090611777030679,2.3413468172414698,4587704025088,27.980198,3.14
HDFCBANK.NS,HDFC Bank Ltd.,Financials,1999-01-01,2026-01-30,6770,2.191771507263184,929.25,42297.211430142816,1020.5,1.951550199980457,13280929.274002954,67.1825,3,0.10911669300508839,1.9926770919757721,14299313471488,20.746819,1.18
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financials,2017-11-17,2026-01-30,2027,336.6984558105469,731.0,117.1082128191637,820.75,299.96060389734083,3562630.0187469167,12.709999999999999,0,0.05511952948103743,1.8360244933730199,1576822505472,83.73425,0.29
HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile,2002-07-01,2026-01-30,5856,144.7899627685547,5534.0,3722.0881435310844,6388.5,83.46221858819106,567534.643613388,1613.0,0,0.08138928928517278,1.9636261574446905,1107251691520,20.964504,2.35
HINDALCO.NS,Hindalco Industries Ltd.,Metals,1999-01-01,2026-01-30,6770,33.41090393066406,962.5999755859376,2781.095278306663,1029.800048828125,24.601693067459603,6640913.316395864,46.021620999999996,1,0.08374488790762624,2.6162751529518435,2152253489152,12.047559,0.52
HINDUNILVR.NS,Hindustan Unilever Ltd.,FMCG,1999-01-01,2026-01-30,6770,90.6869125366211,2373.0,2516.6951036531736,2945.7145483400527,62.71385539995149,1980272.1519940917,452.05,1,0.06426541577466402,1.7964420219935218,5575580057600,51.28593,1.81
ICICIBANK.NS,ICICI Bank Ltd.,Financials,2002-07-01,2026-01-30,5856,17.98613739013672,1355.0,7433.579726479006,1488.5144734435703,14.237943594159963,18579673.537568305,81.227274,2,0.10156777796284192,2.3589864809843673,9692259549184,18.483154,0.81
